r_R,alpha,phi,a,aline,Ct,Cx,Cy,Cq,Cp,N,T
0.25009251993142534,-4.316833544095758,71.8122075475245,0.036160498029912,0.48005732434665915,0.004611564151421951,0.006153704815514215,0.053489025540804654,0.11152844202153013,1.890363010621582,1.623725232131606,14.11368972294115
0.25046250835112444,-3.8170449976122853,71.29391958005606,0.06888466778343029,0.4480421031457653,0.020276742206345438,0.025313869074648623,0.10796081162593829,0.11152844202153013,1.890363010621582,7.149974416952866,30.493838728588003
0.25120212005662157,-3.298005207295631,70.73789920446455,0.07905152099469258,0.42662528496306684,0.037875094544909456,0.04623693464700647,0.16410330286841304,0.11152844202153013,1.890363010621582,13.394934938252193,47.541063910407885
0.2523106251404579,-2.800667290769539,70.18513603374664,0.08362814723698768,0.4089030314624147,0.05574926025283598,0.0673460072715396,0.21751232682137253,0.11152844202153013,1.890363010621582,19.803330301617127,63.960264716944394
0.25378692964194705,-2.3253780248807487,69.6360315427834,0.08625139037149208,0.3931544243851486,0.07368229895996808,0.08852345492213606,0.26809782851344743,0.11152844202153013,1.890363010621582,26.326674380578655,79.73168511805113
0.25562957662678254,-1.868740693888185,69.08726186254906,0.08804803817771212,0.3787514061716859,0.09165962051951257,0.10983424615906562,0.3161928689546343,0.11152844202153013,1.890363010621582,32.98775331027437,94.96575725969477
0.25783674762485576,-1.42798037935124,68.53614299810845,0.08947656443337464,0.3654029677222716,0.10971971280956931,0.1313860292364738,0.3621807788425135,0.11152844202153013,1.890363010621582,39.8284182375109,109.79163934823102
0.26040626442486653,-0.9992365543991326,67.97892333315579,0.09074673821468893,0.3528972988588758,0.12790233374501048,0.15327658404539504,0.40636208286236203,0.11152844202153013,1.890363010621582,46.891430186238104,124.31709225220843
0.26333559122395483,-0.579856437502869,67.41307687630513,0.09197842039626196,0.34109785843950985,0.14626430927997908,0.17561408062963885,0.4489836924116846,0.11152844202153013,1.890363010621582,54.22649166079798,138.63814544428638
0.2666218371302319,-0.16842091390691394,66.83732905739532,0.09323324014771033,0.32993138250567783,0.16484639065707365,0.1984853260664455,0.4902816032134335,0.11152844202153013,1.890363010621582,61.87835243298859,152.84665338381504
0.27026175901574145,0.23697344271900533,66.24993860649391,0.09455334130868229,0.31931208775726594,0.18369611597384977,0.22197521377330415,0.5303910505711383,0.11152844202153013,1.890363010621582,69.89532930690174,167.00899398147908
0.2742517647170356,0.6376071048834859,65.64980465926473,0.09596127776350588,0.3091794861950921,0.2028464003940151,0.24614733190351112,0.5694136043632348,0.11152844202153013,1.890363010621582,78.32137777293303,181.1811554953694
0.27858791658020643,1.0343477035215756,65.0362564674681,0.09746983866426844,0.2994867475946725,0.22232012840951856,0.2710481477436806,0.6074138750074803,0.11152844202153013,1.890363010621582,87.19762226846603,195.4082552285671
0.2832659353468749,1.4282140716341871,64.40848916102206,0.0990851797842056,0.2901815714195784,0.24212900815848412,0.2967031432333499,0.6443862297061747,0.11152844202153013,1.890363010621582,96.5616673780856,209.71469360865316
0.28828120437730237,1.8189326750695187,63.767007106065364,0.10081277132868954,0.2812490011311718,0.26228271699451805,0.3231324290784976,0.6803633875892114,0.11152844202153013,1.890363010621582,106.4509604465916,224.13515185742668
0.2936287742064566,2.206835734674158,63.11172555500302,0.10265322693371806,0.2726540041118352,0.28277692895323164,0.35033003166893073,0.7152928451921913,0.11152844202153013,1.890363010621582,116.89775433043025,238.67815982904446
0.29930336742853614,2.5916892468872987,62.44314238168589,0.10460706961681307,0.26437619070011403,0.3036032238096626,0.37827924437898774,0.7491245796263216,0.11152844202153013,1.890363010621582,127.93269961204203,253.3512775057635
0.3052993839051328,2.972932095317823,61.76209870942554,0.1066746589892734,0.25640247301905467,0.32474904557612894,0.4069521435885609,0.7818057161364488,0.11152844202153013,1.890363010621582,139.58456381446496,268.15931945278766
0.3116109062918918,3.3501694678524174,61.069285217552995,0.10885061615341178,0.24871580351367706,0.346178926807137,0.43628706666003525,0.8132538064600409,0.11152844202153013,1.890363010621582,151.87170170582846,283.09397400054235
0.31823170587821703,3.722820425161224,60.365594280927915,0.11113286693098384,0.24130064823850605,0.367863235315002,0.4662207097169738,0.8433728288447733,0.11152844202153013,1.890363010621582,164.81374031551405,298.1408322396587
0.3251552487342554,4.089983410479803,59.65225415280743,0.11351954192615046,0.2341494772935385,0.3897695375262789,0.4966815275801336,0.8720873086482049,0.11152844202153013,1.890363010621582,178.4276868058566,313.2883196461124
0.3323747021590976,4.450785810051002,58.93047908199412,0.11600747519270797,0.22725336009989205,0.4118581518183371,0.5275832780333888,0.899315229842019,0.11152844202153013,1.890363010621582,192.7255128351785,328.51873076390547
0.33988294142382836,4.8049892602514745,58.200863668557105,0.11858445762549094,0.22058948903593711,0.4340517988730153,0.5587870017844353,0.9249139571374531,0.11152844202153013,1.890363010621582,207.69905044335218,343.7870781277777
0.3476725568027742,5.150940050205868,57.46543210965542,0.121254576909371,0.2141664348980967,0.4563341250888005,0.5902274999923547,0.9488809881019603,0.11152844202153013,1.890363010621582,223.3659351248368,359.0949070185969
0.3557358608860077,5.487664959786045,56.725541995913574,0.12401415430995877,0.20797713932539166,0.4786605939723349,0.6218002675449118,0.9711616472387198,0.11152844202153013,1.890363010621582,239.72807911287546,374.4204181832687
0.3640648961658932,5.81482885061255,55.9819263410928,0.12685153579842634,0.2020013093303596,0.5009540693349683,0.6533554534465815,0.9916431297552128,0.11152844202153013,1.890363010621582,256.76764433716505,389.7141580546976
0.37265144289018615,6.131189252632652,55.23623860285804,0.12976621022586812,0.19623887084097275,0.5231856427566692,0.6848048980667534,1.0103264123172633,0.11152844202153013,1.890363010621582,274.48726963753995,404.96459523369856
0.381487027173936,6.436237716285746,54.48941092501745,0.13274856950529682,0.19067511972641082,0.5452908584050941,0.7160133579651482,1.027149604142775,0.11152844202153013,1.890363010621582,292.86776533439917,420.13044293518556
0.3905629293621876,6.7295714445356865,53.74228208735494,0.13578809922611046,0.18529427721287445,0.5672036872934592,0.7468429002237424,1.0420515410957976,0.11152844202153013,1.890363010621582,311.88439633491896,435.16463200918173
0.3998701926352282,7.009525265252009,52.99696510298658,0.1388901961528759,0.1801083454025379,0.5889351978700978,0.7772625316429993,1.0551583415870582,0.11152844202153013,1.890363010621582,331.55083441298774,450.09068924435974
0.4093996318478868,7.2767504352277115,52.25326797237795,0.1420294888703421,0.17508416020590456,0.6103595495888534,0.8070601079208384,1.0663267125766427,0.11152844202153013,1.890363010621582,351.8007606759286,464.81612079669395
0.41914184259416365,7.529366424535866,51.51354144575595,0.1452177375346063,0.17023918458010576,0.6315289483234052,0.8362639426438908,1.0757537798118697,0.11152844202153013,1.890363010621582,372.66436242462225,479.38823622123147
0.42908721048824355,7.768397477933661,50.77724199765416,0.14842568621586233,0.16553621957358433,0.6523056070095483,0.8646505133308838,1.0832751174221937,0.11152844202153013,1.890363010621582,394.05810463564336,493.6946581178841
0.4392259206527338,7.991897702191778,50.04680626517153,0.15166728984265263,0.16099731120606214,0.6727636952564839,0.8922886886274575,1.0891524497460798,0.11152844202153013,1.890363010621582,416.0198869727529,507.8054723930723
0.4495479674047634,8.201309000678293,49.32129262908354,0.15490682435291764,0.15658217813594202,0.6927379318550092,0.9189273800628603,1.0931949983829174,0.11152844202153013,1.890363010621582,438.43840544559396,521.584928614618
0.4600431641303839,8.394822770013185,48.60301902346762,0.15815941847554008,0.15231256931277476,0.7123164240094385,0.9446640344010998,1.0956838849452006,0.11152844202153013,1.890363010621582,461.3548838938775,535.1099365646572
0.47070115333752754,8.57300467199665,47.891937661126974,0.16140432283637135,0.14816813121479572,0.7314109119427862,0.9693622878596139,1.0965783069613206,0.11152844202153013,1.890363010621582,484.6969425963698,548.3070255139017
0.4815114168776016,8.735987920285822,47.1884412358341,0.1646277696728889,0.1441386442548696,0.7499673003535745,0.9929379557851785,1.0959094354960508,0.11152844202153013,1.890363010621582,508.40814475516964,561.132022070446
0.49246328632563074,8.882841626447316,46.49399405727114,0.16783547575901775,0.1402338391927492,0.7680311636336475,1.0154474278555745,1.0938782554535105,0.11152844202153013,1.890363010621582,532.4959190276326,573.62468106513
0.5035459535087052,9.01379980999139,45.80890251457334,0.17101490279764012,0.13644439818190635,0.7855536776318884,1.036824279792013,1.090522543750816,0.11152844202153013,1.890363010621582,556.9017197125426,585.7442691465066
0.514748481172342,9.129878897403884,45.13269704397902,0.17413949634235704,0.13274994248668007,0.8024097499417389,1.0569048743398057,1.0857670525035201,0.11152844202153013,1.890363010621582,581.5068747446004,597.3867854440258
0.5260598137742343,9.230007178950814,44.46700213233747,0.17722245243491894,0.12916604016939165,0.8186783792611371,1.0758056174848492,1.079859279831867,0.11152844202153013,1.890363010621582,606.3341517118066,608.618833889105
